volunteer_id,name,role,first_active_date,hours_logged
0,Nina Walsh,Driver,2025-05-01,5
1,Jordan Walsh,Driver,2024-10-15,57
2,Nina Brown,Front desk,2024-04-29,48
3,Priya Patel,Warehouse,2024-03-13,75
4,Nina Okafor,Front desk,2024-09-23,52
5,Alex Smith,Coordinator,2024-10-29,110
6,Priya Smith,Sorter,2024-11-23,42
7,Alex Lee,Driver,2024-05-11,118
8,Priya Lee,Driver,2024-02-20,114
9,Jordan Smith,Front desk,2024-10-07,70
10,Alex Walsh,Front desk,2024-03-08,110
11,Jordan Brown,Front desk,2024-02-27,107
12,Leo Smith,Warehouse,2025-05-12,6
13,Priya Okafor,Warehouse,2024-02-28,78
14,Alex Patel,Sorter,2024-11-09,98
15,Leo Okafor,Sorter,2024-08-05,113
16,Jordan Patel,Front desk,2024-11-21,58
17,Omar Brown,Front desk,2024-05-30,27
18,Leo Patel,Front desk,2024-08-20,47
19,Tom Brown,Driver,2024-12-07,22
20,Omar Lee,Warehouse,2024-09-13,73
21,Sam Brown,Driver,2025-01-31,85
22,Jordan Jones,Warehouse,2024-01-27,9
23,Leo Okafor,Sorter,2024-03-01,89
24,Alex Walsh,Warehouse,2024-02-10,98
25,Leo Okafor,Sorter,2025-05-03,105
26,Sam Okafor,Sorter,2025-02-12,98
27,Priya Patel,Warehouse,2024-10-01,8
28,Nina Walsh,Coordinator,2024-11-06,88
29,Priya Smith,Front desk,2024-01-06,14
30,Leo Brown,Warehouse,2024-06-25,24
31,Jordan Garcia,Sorter,2024-10-28,95
32,Mia Smith,Driver,2024-04-02,39
33,Alex Khan,Front desk,2025-03-02,36
34,Alex Jones,Front desk,2024-11-28,119
35,Tom Okafor,Warehouse,2024-08-17,118
36,Sam Jones,Coordinator,2025-03-08,60
37,Nina Khan,Driver,2024-02-12,34
38,Grace Lee,Coordinator,2024-04-25,96
39,Jordan Walsh,Front desk,2024-02-29,33
40,Leo Lee,Driver,2024-02-14,38
41,Alex Smith,Driver,2024-03-20,121
42,Nina Smith,Front desk,2024-02-06,62
43,Jordan Walsh,Front desk,2024-04-08,53
44,Tom Brown,Warehouse,2024-12-14,68
45,Priya Jones,Coordinator,2025-05-12,28
46,Mia Brown,Warehouse,2025-01-27,66
47,Priya Okafor,Driver,2024-07-25,19
48,Grace Walsh,Coordinator,2024-02-14,90
49,Nina Walsh,Coordinator,2025-01-02,115
50,Grace Garcia,Driver,2024-02-16,80
51,Mia Patel,Coordinator,2025-04-03,122
52,Priya Walsh,Driver,2025-03-09,111
53,Alex Garcia,Sorter,2024-03-06,12
54,Tom Ali,Driver,2024-07-27,124
55,Mia Smith,Driver,2025-04-06,40
56,Alex Walsh,Warehouse,2025-01-13,75
57,Grace Garcia,Front desk,2025-04-12,66
58,Nina Okafor,Front desk,2025-03-04,44
59,Mia Walsh,Driver,2024-12-09,60
60,Jordan Garcia,Front desk,2024-05-25,116
61,Grace Jones,Warehouse,2024-09-25,30
62,Omar Jones,Warehouse,2024-03-16,78
63,Mia Ali,Driver,2024-06-17,75
64,Priya Okafor,Front desk,2025-03-06,8
65,Jordan Okafor,Sorter,2024-08-02,86
66,Sam Jones,Warehouse,2025-04-25,102
67,Omar Jones,Front desk,2025-03-30,21
68,Jordan Lee,Warehouse,2024-08-16,40
69,Grace Lee,Sorter,2025-01-06,54
70,Priya Smith,Driver,2024-04-08,10
71,Alex Jones,Coordinator,2024-01-02,67
72,Grace Patel,Warehouse,2024-04-02,84
73,Grace Smith,Sorter,2024-05-30,97
74,Mia Lee,Coordinator,2024-04-12,99
75,Nina Lee,Warehouse,2025-04-06,85
76,Tom Khan,Sorter,2024-01-12,20
77,Omar Smith,Driver,2024-07-21,96
78,Alex Ali,Coordinator,2024-02-12,43
79,Leo Khan,Coordinator,2024-11-01,9
80,Omar Patel,Front desk,2024-08-23,110
81,Nina Lee,Sorter,2024-04-02,39
82,Grace Walsh,Driver,2024-11-26,29
83,Omar Lee,Front desk,2024-03-02,102
84,Omar Smith,Sorter,2024-10-25,105
85,Alex Lee,Coordinator,2025-02-20,106
86,Nina Lee,Coordinator,2024-11-22,121
87,Priya Ali,Driver,2024-06-27,123
88,Priya Brown,Warehouse,2025-03-28,54
89,Mia Smith,Sorter,2024-09-07,23
90,Grace Patel,Warehouse,2024-10-19,77
91,Grace Ali,Warehouse,2024-03-30,87
92,Nina Smith,Warehouse,2024-01-11,81
93,Priya Garcia,Driver,2024-03-21,91
94,Grace Okafor,Coordinator,2024-06-01,11
95,Omar Jones,Driver,2024-10-21,21
96,Priya Smith,Driver,2024-11-07,89
97,Mia Jones,Sorter,2025-01-28,45
98,Priya Garcia,Front desk,2025-02-19,57
99,Nina Brown,Warehouse,2024-04-06,101
100,Mia Smith,Front desk,2024-09-06,98
101,Nina Ali,Warehouse,2024-10-30,103
102,Leo Khan,Front desk,2024-09-27,41
103,Alex Khan,Driver,2025-04-01,40
104,Mia Garcia,Front desk,2025-02-02,60
105,Omar Smith,Coordinator,2024-06-15,86
106,Jordan Patel,Sorter,2024-05-09,37
107,Omar Smith,Warehouse,2025-01-01,13
108,Nina Walsh,Warehouse,2024-09-08,45
109,Priya Ali,Front desk,2025-02-09,89
110,Sam Brown,Driver,2024-07-25,59
111,Grace Brown,Driver,2024-02-07,99
112,Grace Jones,Coordinator,2025-01-26,67
113,Jordan Ali,Coordinator,2025-03-06,6
114,Jordan Jones,Coordinator,2024-05-23,22
115,Omar Ali,Driver,2025-02-11,91
116,Sam Khan,Sorter,2025-05-03,98
117,Omar Khan,Sorter,2024-12-13,106
118,Nina Okafor,Coordinator,2024-07-27,65
